vertex_id,x,y
3BBdYYzMkqcGBnRx7ZdZiM,-0.17617879807949066,-0.611472487449646
5NTTDyvL5V1kjcjKUtoU6j,-0.17662061750888824,-0.6523629426956177
57sxeemF1LxEGqZ9w4HQvi,-0.19019252061843872,-0.6017671823501587
0bdAMzdjrGYna22jmE3fmF,-0.1901240348815918,-0.6014050245285034
74Le7vpuBBgDLdyMhjQxiU,-0.17556548118591309,-0.6221634149551392
7nd51y4iaZaNLZcbAyQZWK,-0.17656365036964417,-0.6513885855674744
0T4o42wSqCHMDWCNFAVNVI,-0.18817853927612305,-0.6971766352653503
7wKCDio594iR21sABvifAI,-0.17332932353019714,-0.7067294120788574
357zd5nYaLrfelaP2ITeOr,-0.18912701308727264,-0.7316840887069702
0bdaDlgQKV7wM5J1TKlgzI,-0.4514470398426056,0.4996594786643982
0pr25c0Gnt9OK4r7rvv6xb,-0.4085861146450043,0.44288286566734314
5B8jGxyXGCdVrDlHvSKtHK,-0.4223218560218811,0.44755735993385315
3mFnJzwazTpubn4Sny3q9k,-0.49359622597694397,0.5305246710777283
0dfBUVqv6pAwVAGeQNU6dc,-0.4248482584953308,0.4636746644973755
5gv3pyOtbQEBQwWGn7ovCo,-0.4292864203453064,0.44229429960250854
0Cl6oph3tJOccHDj9IgA7j,-0.49396705627441406,0.506583571434021
7B4zuMvLWegTWKWcmVmWa0,-0.41547834873199463,0.45045462250709534
4vpvkDPQfCVPDS64hBtUbl,-0.4592800736427307,0.5093181133270264
6VB94UV9vlOZhasZeatA01,-0.44035589694976807,0.48523539304733276
3Z6bDnjS0K4RuGpXB0Cq1y,-0.4476262331008911,0.49478891491889954
2Zgd4CU4Gjd0Fbu4darACt,-0.409945547580719,0.44403740763664246
6RHyDhjBG9k8FU4Q73mh5p,-0.48569947481155396,0.5409242510795593
5yR4yEe2yWGTFY2Qno5dKP,-0.47830095887184143,0.5534605979919434
691HbefeRbA751TYr9PCGJ,-0.4412011504173279,0.4863653779029846
7IoTJTq8jD0xqwkIP6KZmB,-0.4841524362564087,0.5385971665382385
3G69N93wUnXpTOuoo2pJT1,-0.4474979043006897,0.4946235418319702
62AmOJc7y16UXjh9rx9KkD,-0.4321560263633728,0.47402241826057434
6tYmP1jFfuRARf6dsyKv9i,-0.48089873790740967,0.5450205206871033
0Uslog1il78jzGbumN10Ss,-0.4209745228290558,0.45774781703948975
05ZjhrZZgZgmTP77S5z3Qw,-0.47493502497673035,0.5563604831695557
5IQO65FmiMnjklG1nEvoDG,0.773445725440979,-0.11191428452730179
44eCL8wLkcVplsuhPdpPQ7,0.7704187631607056,-0.1041322723031044
4t4Nv66eXWmOSbECTjScVa,0.7318663001060486,-0.08023928850889206
5locsteK1W4ssMFJ611NCr,0.7592318654060364,-0.09465166181325912
5a2aDO2uZfS4UwC7OAFa95,0.7015869617462158,-0.06962046027183533
1O2ASMYFxmlxK0MZQraOr5,0.6623607873916626,-0.07200969755649567
4Q6012jZvUT03Ah0ONaAAK,0.774721086025238,-0.11206181347370148
0MvkamIK6TkPI95ltILzdo,0.6884018778800964,-0.06522432714700699
47OLeuY3xq6bHgqdbaY6Rq,0.6884313821792603,-0.06531410664319992
3Hp6FJLixdk7tpMUmdnPGh,0.7498859763145447,-0.10076673328876495
7p6VBlNYPVRsWePVzHlBjB,0.7250182032585144,-0.07746712118387222
6nCfYAJK3IuiOTJQTvL8zF,0.7127212882041931,-0.06761395186185837
090g1fAlbg029sN1VwaZb6,0.7305525541305542,-0.07968869060277939
6193A8PqTDxX7zdttaRpEt,0.7733578681945801,-0.11615732312202454
4yAArOkkNm03xd6UIvvOrG,0.657930314540863,-0.09345570206642151
6K98eu0eqogn7mHzaIxBi0,0.7701314091682434,-0.11473345011472702
4YcJ7TdfkC547iEcCMeMw0,0.7699506878852844,-0.10361026227474213
0XhButu6Sgoq8XnaPBbNCB,0.7653974294662476,-0.09501732140779495
1cmZcplbRs81rRTNmgqyAF,-0.4940134882926941,0.5277548432350159
0UZvF6KJhjpUawO1ifNvF4,-0.40839695930480957,0.5537399053573608
3wG8a1EraWKj9FnoVWaO2t,-0.46019211411476135,0.5432958602905273
3s32Z2INFo72gFwmFp7TX9,-0.417603999376297,0.4519425630569458
6luwqAS5Iw4grq6r3CT6a9,-0.5648383498191833,0.4822997748851776
1AnJCgKcODrLzMG9nYyeVO,-0.39150747656822205,0.45465680956840515
3d92FCgZE6uuoU4jEva3Ag,-0.41384631395339966,0.45948556065559387
5OczHIhC05zudN38HMyjmV,-0.4661922752857208,0.5174795985221863
2mI20kUdIyOaAhtgeonE4g,-0.49540454149246216,0.5170590877532959
10ihkjftfKACgohc457ezF,-0.4199826717376709,0.45670226216316223
